,scenario,fuse_size,dso_packet,battery,pv_capacity,cost_sum,cost_mean
105,Kaitse:32 + net3 + PV:9 + Aku:LG Chem RESU,32,net3,LG Chem RESU,9,-358.0,-0.98
106,Kaitse:32 + net4 + PV:9 + Aku:Puudub,32,net4,Puudub,9,-190.0,-0.52
107,Kaitse:32 + net4 + PV:9 + Aku:Tesla Powerwall 2,32,net4,Tesla Powerwall 2,9,-503.0,-1.38
108,Kaitse:32 + net4 + PV:9 + Aku:LG Chem RESU,32,net4,LG Chem RESU,9,-366.0,-1.0
109,Kaitse:16 + net1 + PV:12 + Aku:Puudub,16,net1,Puudub,12,-439.0,-1.2
110,Kaitse:16 + net1 + PV:12 + Aku:Tesla Powerwall 2,16,net1,Tesla Powerwall 2,12,-781.0,-2.14
111,Kaitse:16 + net1 + PV:12 + Aku:LG Chem RESU,16,net1,LG Chem RESU,12,-629.0,-1.72
112,Kaitse:16 + net2 + PV:12 + Aku:Puudub,16,net2,Puudub,12,-465.0,-1.28
113,Kaitse:16 + net2 + PV:12 + Aku:Tesla Powerwall 2,16,net2,Tesla Powerwall 2,12,-787.0,-2.15
114,Kaitse:16 + net2 + PV:12 + Aku:LG Chem RESU,16,net2,LG Chem RESU,12,-647.0,-1.77
115,Kaitse:16 + net3 + PV:12 + Aku:Puudub,16,net3,Puudub,12,-538.0,-1.47
116,Kaitse:16 + net3 + PV:12 + Aku:Tesla Powerwall 2,16,net3,Tesla Powerwall 2,12,-821.0,-2.25
117,Kaitse:16 + net3 + PV:12 + Aku:LG Chem RESU,16,net3,LG Chem RESU,12,-698.0,-1.91
118,Kaitse:16 + net4 + PV:12 + Aku:Puudub,16,net4,Puudub,12,-550.0,-1.51
119,Kaitse:16 + net4 + PV:12 + Aku:Tesla Powerwall 2,16,net4,Tesla Powerwall 2,12,-826.0,-2.26
120,Kaitse:16 + net4 + PV:12 + Aku:LG Chem RESU,16,net4,LG Chem RESU,12,-708.0,-1.94
121,Kaitse:20 + net1 + PV:12 + Aku:Puudub,20,net1,Puudub,12,-439.0,-1.2
122,Kaitse:20 + net1 + PV:12 + Aku:Tesla Powerwall 2,20,net1,Tesla Powerwall 2,12,-781.0,-2.14
123,Kaitse:20 + net1 + PV:12 + Aku:LG Chem RESU,20,net1,LG Chem RESU,12,-629.0,-1.72
124,Kaitse:20 + net2 + PV:12 + Aku:Puudub,20,net2,Puudub,12,-465.0,-1.28
125,Kaitse:20 + net2 + PV:12 + Aku:Tesla Powerwall 2,20,net2,Tesla Powerwall 2,12,-787.0,-2.16
126,Kaitse:20 + net2 + PV:12 + Aku:LG Chem RESU,20,net2,LG Chem RESU,12,-647.0,-1.77
127,Kaitse:20 + net3 + PV:12 + Aku:Puudub,20,net3,Puudub,12,-518.0,-1.42
128,Kaitse:20 + net3 + PV:12 + Aku:Tesla Powerwall 2,20,net3,Tesla Powerwall 2,12,-813.0,-2.23
129,Kaitse:20 + net3 + PV:12 + Aku:LG Chem RESU,20,net3,LG Chem RESU,12,-684.0,-1.87
130,Kaitse:20 + net4 + PV:12 + Aku:Puudub,20,net4,Puudub,12,-530.0,-1.45
